CensusYear,Sex,Single Year of Age,Administrative Counties,VALUE
2022,Male,4,Galway City Council,412
2022,Male,4,Galway County Council,1354
2022,Male,4,Leitrim County Council,223
2022,Male,4,Mayo  County Council,842
2022,Male,4,Roscommon County Council,427
2022,Male,4,Sligo County Council,412
2022,Male,4,Cavan County Council,555
2022,Male,4,Donegal County Council,1042
2022,Male,4,Monaghan County Council,449
2022,Male,5,Carlow County Council,384
2022,Male,5,Dublin City Council,2793
2022,Male,5,Dún Laoghaire Rathdown County Council,1442
2022,Male,5,Fingal County Council,2387
2022,Male,5,South Dublin County Council,2107
2022,Male,5,Kildare County Council,1692
2022,Male,5,Kilkenny County Council,693
2022,Male,5,Laois County Council,641
2022,Male,5,Longford County Council,347
2022,Male,5,Louth County Council,897
2022,Male,5,Meath County Council,1601
2022,Male,5,Offaly County Council,569
2022,Male,5,Westmeath County Council,659
2022,Male,5,Wexford County Council,1022
2022,Male,5,Wicklow County Council,1063
2022,Male,5,Clare County Council,821
2022,Male,5,Cork City Council,1176
2022,Male,5,Cork County Council,2406
2022,Male,5,Kerry County Council,938
2022,Male,5,Limerick City & County Council,1294
2022,Male,5,Tipperary County Council,1083
2022,Male,5,Waterford City & County Council,787
2022,Male,5,Galway City Council,437
2022,Male,5,Galway County Council,1326
2022,Male,5,Leitrim County Council,229
2022,Male,5,Mayo  County Council,880
2022,Male,5,Roscommon County Council,471
2022,Male,5,Sligo County Council,427
2022,Male,5,Cavan County Council,599
2022,Male,5,Donegal County Council,1079
2022,Male,5,Monaghan County Council,434
2022,Male,6,Carlow County Council,383
2022,Male,6,Dublin City Council,2934
2022,Male,6,Dún Laoghaire Rathdown County Council,1485
2022,Male,6,Fingal County Council,2502
2022,Male,6,South Dublin County Council,2141
2022,Male,6,Kildare County Council,1784
2022,Male,6,Kilkenny County Council,763
2022,Male,6,Laois County Council,698
2022,Male,6,Longford County Council,337
2022,Male,6,Louth County Council,987
2022,Male,6,Meath County Council,1588
2022,Male,6,Offaly County Council,557
2022,Male,6,Westmeath County Council,684
2022,Male,6,Wexford County Council,1107
2022,Male,6,Wicklow County Council,1090
2022,Male,6,Clare County Council,867
2022,Male,6,Cork City Council,1268
2022,Male,6,Cork County Council,2638
2022,Male,6,Kerry County Council,945
2022,Male,6,Limerick City & County Council,1304
2022,Male,6,Tipperary County Council,1123
2022,Male,6,Waterford City & County Council,847
2022,Male,6,Galway City Council,449
2022,Male,6,Galway County Council,1359
2022,Male,6,Leitrim County Council,232
2022,Male,6,Mayo  County Council,917
2022,Male,6,Roscommon County Council,450
2022,Male,6,Sligo County Council,423
2022,Male,6,Cavan County Council,585
2022,Male,6,Donegal County Council,1163
2022,Male,6,Monaghan County Council,482
2022,Male,7,Carlow County Council,434
2022,Male,7,Dublin City Council,3021
2022,Male,7,Dún Laoghaire Rathdown County Council,1505
2022,Male,7,Fingal County Council,2577
2022,Male,7,South Dublin County Council,2302
2022,Male,7,Kildare County Council,1879
2022,Male,7,Kilkenny County Council,711
2022,Male,7,Laois County Council,713
2022,Male,7,Longford County Council,331
2022,Male,7,Louth County Council,1014
2022,Male,7,Meath County Council,1774
2022,Male,7,Offaly County Council,620
2022,Male,7,Westmeath County Council,654
2022,Male,7,Wexford County Council,1164
2022,Male,7,Wicklow County Council,1152
2022,Male,7,Clare County Council,858
2022,Male,7,Cork City Council,1369
2022,Male,7,Cork County Council,2737
2022,Male,7,Kerry County Council,1011
2022,Male,7,Limerick City & County Council,1332
2022,Male,7,Tipperary County Council,1148
2022,Male,7,Waterford City & County Council,848
2022,Male,7,Galway City Council,460
2022,Male,7,Galway County Council,1368
2022,Male,7,Leitrim County Council,254
2022,Male,7,Mayo  County Council,924
2022,Male,7,Roscommon County Council,507
2022,Male,7,Sligo County Council,508
2022,Male,7,Cavan County Council,607
2022,Male,7,Donegal County Council,1137
2022,Male,7,Monaghan County Council,510
2022,Male,8,Carlow County Council,415
2022,Male,8,Dublin City Council,3095
2022,Male,8,Dún Laoghaire Rathdown County Council,1517
2022,Male,8,Fingal County Council,2752
2022,Male,8,South Dublin County Council,2320
2022,Male,8,Kildare County Council,1926
2022,Male,8,Kilkenny County Council,781
2022,Male,8,Laois County Council,723
2022,Male,8,Longford County Council,348
2022,Male,8,Louth County Council,1048
2022,Male,8,Meath County Council,1881
2022,Male,8,Offaly County Council,638
2022,Male,8,Westmeath County Council,700
2022,Male,8,Wexford County Council,1188
2022,Male,8,Wicklow County Council,1132
2022,Male,8,Clare County Council,869
2022,Male,8,Cork City Council,1270
2022,Male,8,Cork County Council,2785
2022,Male,8,Kerry County Council,957
2022,Male,8,Limerick City & County Council,1408
2022,Male,8,Tipperary County Council,1158
2022,Male,8,Waterford City & County Council,916
2022,Male,8,Galway City Council,443
2022,Male,8,Galway County Council,1507
2022,Male,8,Leitrim County Council,254
2022,Male,8,Mayo  County Council,931
2022,Male,8,Roscommon County Council,512
2022,Male,8,Sligo County Council,481
2022,Male,8,Cavan County Council,602
2022,Male,8,Donegal County Council,1224
2022,Male,8,Monaghan County Council,515
2022,Male,9,Carlow County Council,447
2022,Male,9,Dublin City Council,3040
2022,Male,9,Dún Laoghaire Rathdown County Council,1454
2022,Male,9,Fingal County Council,2775
2022,Male,9,South Dublin County Council,2298
2022,Male,9,Kildare County Council,1939
2022,Male,9,Kilkenny County Council,756
2022,Male,9,Laois County Council,780
2022,Male,9,Longford County Council,390
2022,Male,9,Louth County Council,1063
2022,Male,9,Meath County Council,1805
2022,Male,9,Offaly County Council,610
2022,Male,9,Westmeath County Council,748
2022,Male,9,Wexford County Council,1235
2022,Male,9,Wicklow County Council,1203
2022,Male,9,Clare County Council,933
2022,Male,9,Cork City Council,1346
2022,Male,9,Cork County Council,2802
2022,Male,9,Kerry County Council,1071
2022,Male,9,Limerick City & County Council,1462
2022,Male,9,Tipperary County Council,1127
2022,Male,9,Waterford City & County Council,901
2022,Male,9,Galway City Council,477
2022,Male,9,Galway County Council,1545
2022,Male,9,Leitrim County Council,284
2022,Male,9,Mayo  County Council,978
2022,Male,9,Roscommon County Council,546
2022,Male,9,Sligo County Council,512
2022,Male,9,Cavan County Council,687
2022,Male,9,Donegal County Council,1222
2022,Male,9,Monaghan County Council,533
2022,Male,10,Carlow County Council,475
2022,Male,10,Dublin City Council,3147
2022,Male,10,Dún Laoghaire Rathdown County Council,1586
2022,Male,10,Fingal County Council,2938
2022,Male,10,South Dublin County Council,2527
2022,Male,10,Kildare County Council,1985
2022,Male,10,Kilkenny County Council,847
2022,Male,10,Laois County Council,793
2022,Male,10,Longford County Council,367
2022,Male,10,Louth County Council,1096
2022,Male,10,Meath County Council,1956
2022,Male,10,Offaly County Council,643
2022,Male,10,Westmeath County Council,715
2022,Male,10,Wexford County Council,1266
2022,Male,10,Wicklow County Council,1183
2022,Male,10,Clare County Council,914
2022,Male,10,Cork City Council,1295
2022,Male,10,Cork County Council,2821
2022,Male,10,Kerry County Council,1043
2022,Male,10,Limerick City & County Council,1476
2022,Male,10,Tipperary County Council,1290
2022,Male,10,Waterford City & County Council,904
2022,Male,10,Galway City Council,450
2022,Male,10,Galway County Council,1556
