CensusYear,Sex,Single Year of Age,Administrative Counties,VALUE
2022,Male,47,Cork County Council,2801
2022,Male,47,Kerry County Council,1151
2022,Male,47,Limerick City & County Council,1505
2022,Male,47,Tipperary County Council,1258
2022,Male,47,Waterford City & County Council,886
2022,Male,47,Galway City Council,569
2022,Male,47,Galway County Council,1412
2022,Male,47,Leitrim County Council,244
2022,Male,47,Mayo  County Council,919
2022,Male,47,Roscommon County Council,529
2022,Male,47,Sligo County Council,508
2022,Male,47,Cavan County Council,588
2022,Male,47,Donegal County Council,1119
2022,Male,47,Monaghan County Council,455
2022,Male,48,Carlow County Council,411
2022,Male,48,Dublin City Council,3741
2022,Male,48,Dún Laoghaire Rathdown County Council,1561
2022,Male,48,Fingal County Council,2614
2022,Male,48,South Dublin County Council,2084
2022,Male,48,Kildare County Council,1930
2022,Male,48,Kilkenny County Council,796
2022,Male,48,Laois County Council,665
2022,Male,48,Longford County Council,307
2022,Male,48,Louth County Council,1010
2022,Male,48,Meath County Council,1692
2022,Male,48,Offaly County Council,596
2022,Male,48,Westmeath County Council,656
2022,Male,48,Wexford County Council,1159
2022,Male,48,Wicklow County Council,1190
2022,Male,48,Clare County Council,958
2022,Male,48,Cork City Council,1394
2022,Male,48,Cork County Council,2820
2022,Male,48,Kerry County Council,1138
2022,Male,48,Limerick City & County Council,1450
2022,Male,48,Tipperary County Council,1167
2022,Male,48,Waterford City & County Council,885
2022,Male,48,Galway City Council,483
2022,Male,48,Galway County Council,1464
2022,Male,48,Leitrim County Council,243
2022,Male,48,Mayo  County Council,905
2022,Male,48,Roscommon County Council,508
2022,Male,48,Sligo County Council,466
2022,Male,48,Cavan County Council,562
2022,Male,48,Donegal County Council,1151
2022,Male,48,Monaghan County Council,466
2022,Male,49,Carlow County Council,453
2022,Male,49,Dublin City Council,3701
2022,Male,49,Dún Laoghaire Rathdown County Council,1555
2022,Male,49,Fingal County Council,2562
2022,Male,49,South Dublin County Council,2070
2022,Male,49,Kildare County Council,1921
2022,Male,49,Kilkenny County Council,816
2022,Male,49,Laois County Council,661
2022,Male,49,Longford County Council,366
2022,Male,49,Louth County Council,1025
2022,Male,49,Meath County Council,1751
2022,Male,49,Offaly County Council,611
2022,Male,49,Westmeath County Council,684
2022,Male,49,Wexford County Council,1184
2022,Male,49,Wicklow County Council,1196
2022,Male,49,Clare County Council,941
2022,Male,49,Cork City Council,1466
2022,Male,49,Cork County Council,2691
2022,Male,49,Kerry County Council,1100
2022,Male,49,Limerick City & County Council,1474
2022,Male,49,Tipperary County Council,1242
2022,Male,49,Waterford City & County Council,909
2022,Male,49,Galway City Council,489
2022,Male,49,Galway County Council,1463
2022,Male,49,Leitrim County Council,238
2022,Male,49,Mayo  County Council,918
2022,Male,49,Roscommon County Council,502
2022,Male,49,Sligo County Council,448
2022,Male,49,Cavan County Council,555
2022,Male,49,Donegal County Council,1187
2022,Male,49,Monaghan County Council,471
2022,Male,50,Carlow County Council,443
2022,Male,50,Dublin City Council,3753
2022,Male,50,Dún Laoghaire Rathdown County Council,1494
2022,Male,50,Fingal County Council,2434
2022,Male,50,South Dublin County Council,1926
2022,Male,50,Kildare County Council,1911
2022,Male,50,Kilkenny County Council,726
2022,Male,50,Laois County Council,692
2022,Male,50,Longford County Council,309
2022,Male,50,Louth County Council,1050
2022,Male,50,Meath County Council,1700
2022,Male,50,Offaly County Council,594
2022,Male,50,Westmeath County Council,673
2022,Male,50,Wexford County Council,1193
2022,Male,50,Wicklow County Council,1156
2022,Male,50,Clare County Council,946
2022,Male,50,Cork City Council,1424
2022,Male,50,Cork County Council,2708
2022,Male,50,Kerry County Council,1164
2022,Male,50,Limerick City & County Council,1496
2022,Male,50,Tipperary County Council,1131
2022,Male,50,Waterford City & County Council,869
2022,Male,50,Galway City Council,469
2022,Male,50,Galway County Council,1392
2022,Male,50,Leitrim County Council,264
2022,Male,50,Mayo  County Council,971
2022,Male,50,Roscommon County Council,488
2022,Male,50,Sligo County Council,424
2022,Male,50,Cavan County Council,604
2022,Male,50,Donegal County Council,1185
2022,Male,50,Monaghan County Council,461
2022,Male,51,Carlow County Council,379
2022,Male,51,Dublin City Council,3567
2022,Male,51,Dún Laoghaire Rathdown County Council,1470
2022,Male,51,Fingal County Council,2252
2022,Male,51,South Dublin County Council,1894
2022,Male,51,Kildare County Council,1821
2022,Male,51,Kilkenny County Council,694
2022,Male,51,Laois County Council,660
2022,Male,51,Longford County Council,328
2022,Male,51,Louth County Council,1025
2022,Male,51,Meath County Council,1587
2022,Male,51,Offaly County Council,537
2022,Male,51,Westmeath County Council,654
2022,Male,51,Wexford County Council,1182
2022,Male,51,Wicklow County Council,1177
2022,Male,51,Clare County Council,916
2022,Male,51,Cork City Council,1372
2022,Male,51,Cork County Council,2684
2022,Male,51,Kerry County Council,1120
2022,Male,51,Limerick City & County Council,1413
2022,Male,51,Tipperary County Council,1174
2022,Male,51,Waterford City & County Council,867
2022,Male,51,Galway City Council,498
2022,Male,51,Galway County Council,1406
2022,Male,51,Leitrim County Council,225
2022,Male,51,Mayo  County Council,955
2022,Male,51,Roscommon County Council,495
2022,Male,51,Sligo County Council,495
2022,Male,51,Cavan County Council,537
2022,Male,51,Donegal County Council,1129
2022,Male,51,Monaghan County Council,413
2022,Male,52,Carlow County Council,420
2022,Male,52,Dublin City Council,3453
2022,Male,52,Dún Laoghaire Rathdown County Council,1409
2022,Male,52,Fingal County Council,2153
2022,Male,52,South Dublin County Council,1855
2022,Male,52,Kildare County Council,1749
2022,Male,52,Kilkenny County Council,742
2022,Male,52,Laois County Council,656
2022,Male,52,Longford County Council,319
2022,Male,52,Louth County Council,974
2022,Male,52,Meath County Council,1594
2022,Male,52,Offaly County Council,555
2022,Male,52,Westmeath County Council,652
2022,Male,52,Wexford County Council,1179
2022,Male,52,Wicklow County Council,1104
2022,Male,52,Clare County Council,919
2022,Male,52,Cork City Council,1340
2022,Male,52,Cork County Council,2555
2022,Male,52,Kerry County Council,1148
2022,Male,52,Limerick City & County Council,1414
2022,Male,52,Tipperary County Council,1148
2022,Male,52,Waterford City & County Council,836
2022,Male,52,Galway City Council,466
2022,Male,52,Galway County Council,1360
2022,Male,52,Leitrim County Council,247
2022,Male,52,Mayo  County Council,925
2022,Male,52,Roscommon County Council,513
2022,Male,52,Sligo County Council,463
2022,Male,52,Cavan County Council,557
2022,Male,52,Donegal County Council,1195
2022,Male,52,Monaghan County Council,456
2022,Male,53,Carlow County Council,400
2022,Male,53,Dublin City Council,3331
2022,Male,53,Dún Laoghaire Rathdown County Council,1332
2022,Male,53,Fingal County Council,2013
2022,Male,53,South Dublin County Council,1733
2022,Male,53,Kildare County Council,1611
2022,Male,53,Kilkenny County Council,700
2022,Male,53,Laois County Council,618
2022,Male,53,Longford County Council,296
2022,Male,53,Louth County Council,958
2022,Male,53,Meath County Council,1464
2022,Male,53,Offaly County Council,546
2022,Male,53,Westmeath County Council,645
2022,Male,53,Wexford County Council,1099
2022,Male,53,Wicklow County Council,989
2022,Male,53,Clare County Council,873
2022,Male,53,Cork City Council,1263
2022,Male,53,Cork County Council,2452
2022,Male,53,Kerry County Council,1099
2022,Male,53,Limerick City & County Council,1285
2022,Male,53,Tipperary County Council,1136
2022,Male,53,Waterford City & County Council,881
2022,Male,53,Galway City Council,424
2022,Male,53,Galway County Council,1308
2022,Male,53,Leitrim County Council,243
2022,Male,53,Mayo  County Council,880
2022,Male,53,Roscommon County Council,468
2022,Male,53,Sligo County Council,438
2022,Male,53,Cavan County Council,553
2022,Male,53,Donegal County Council,1141
2022,Male,53,Monaghan County Council,432
2022,Male,54,Carlow County Council,423
2022,Male,54,Dublin City Council,3389
2022,Male,54,Dún Laoghaire Rathdown County Council,1291
2022,Male,54,Fingal County Council,1882
2022,Male,54,South Dublin County Council,1649
2022,Male,54,Kildare County Council,1580
2022,Male,54,Kilkenny County Council,659
2022,Male,54,Laois County Council,600
2022,Male,54,Longford County Council,315
2022,Male,54,Louth County Council,911
2022,Male,54,Meath County Council,1447
2022,Male,54,Offaly County Council,579
2022,Male,54,Westmeath County Council,605
2022,Male,54,Wexford County Council,1058
2022,Male,54,Wicklow County Council,973
2022,Male,54,Clare County Council,850
2022,Male,54,Cork City Council,1305
2022,Male,54,Cork County Council,2325
2022,Male,54,Kerry County Council,1052
2022,Male,54,Limerick City & County Council,1307
2022,Male,54,Tipperary County Council,1124
2022,Male,54,Waterford City & County Council,806
2022,Male,54,Galway City Council,418
2022,Male,54,Galway County Council,1321
2022,Male,54,Leitrim County Council,244
2022,Male,54,Mayo  County Council,919
2022,Male,54,Roscommon County Council,445
2022,Male,54,Sligo County Council,487
2022,Male,54,Cavan County Council,538
2022,Male,54,Donegal County Council,1144
2022,Male,54,Monaghan County Council,404
2022,Male,55,Carlow County Council,412
2022,Male,55,Dublin City Council,3075
2022,Male,55,Dún Laoghaire Rathdown County Council,1334
2022,Male,55,Fingal County Council,1805
2022,Male,55,South Dublin County Council,1622
2022,Male,55,Kildare County Council,1513
2022,Male,55,Kilkenny County Council,698
2022,Male,55,Laois County Council,605
2022,Male,55,Longford County Council,275
2022,Male,55,Louth County Council,854
2022,Male,55,Meath County Council,1355
2022,Male,55,Offaly County Council,494
2022,Male,55,Westmeath County Council,591
2022,Male,55,Wexford County Council,1081
2022,Male,55,Wicklow County Council,961
2022,Male,55,Clare County Council,867
2022,Male,55,Cork City Council,1278
2022,Male,55,Cork County Council,2455
2022,Male,55,Kerry County Council,1007
2022,Male,55,Limerick City & County Council,1298
2022,Male,55,Tipperary County Council,1109
2022,Male,55,Waterford City & County Council,872
2022,Male,55,Galway City Council,408
2022,Male,55,Galway County Council,1306
2022,Male,55,Leitrim County Council,242
2022,Male,55,Mayo  County Council,903
2022,Male,55,Roscommon County Council,491
2022,Male,55,Sligo County Council,451
2022,Male,55,Cavan County Council,542
2022,Male,55,Donegal County Council,1075
2022,Male,55,Monaghan County Council,374
2022,Male,56,Carlow County Council,377
2022,Male,56,Dublin City Council,3168
2022,Male,56,Dún Laoghaire Rathdown County Council,1249
2022,Male,56,Fingal County Council,1695
2022,Male,56,South Dublin County Council,1483
2022,Male,56,Kildare County Council,1504
2022,Male,56,Kilkenny County Council,679
2022,Male,56,Laois County Council,554
2022,Male,56,Longford County Council,283
2022,Male,56,Louth County Council,877
2022,Male,56,Meath County Council,1352
2022,Male,56,Offaly County Council,535
2022,Male,56,Westmeath County Council,542
2022,Male,56,Wexford County Council,1013
2022,Male,56,Wicklow County Council,985
2022,Male,56,Clare County Council,828
2022,Male,56,Cork City Council,1286
2022,Male,56,Cork County Council,2364
2022,Male,56,Kerry County Council,1042
2022,Male,56,Limerick City & County Council,1227
2022,Male,56,Tipperary County Council,1130
2022,Male,56,Waterford City & County Council,828
2022,Male,56,Galway City Council,438
2022,Male,56,Galway County Council,1238
2022,Male,56,Leitrim County Council,224
2022,Male,56,Mayo  County Council,888
2022,Male,56,Roscommon County Council,461
2022,Male,56,Sligo County Council,415
2022,Male,56,Cavan County Council,550
2022,Male,56,Donegal County Council,1062
2022,Male,56,Monaghan County Council,407
2022,Male,57,Carlow County Council,355
2022,Male,57,Dublin City Council,3166
2022,Male,57,Dún Laoghaire Rathdown County Council,1295
2022,Male,57,Fingal County Council,1672
2022,Male,57,South Dublin County Council,1491
2022,Male,57,Kildare County Council,1464
2022,Male,57,Kilkenny County Council,666
2022,Male,57,Laois County Council,522
2022,Male,57,Longford County Council,307
2022,Male,57,Louth County Council,845
2022,Male,57,Meath County Council,1425
2022,Male,57,Offaly County Council,532
2022,Male,57,Westmeath County Council,585
2022,Male,57,Wexford County Council,1080
2022,Male,57,Wicklow County Council,1038
2022,Male,57,Clare County Council,824
2022,Male,57,Cork City Council,1282
2022,Male,57,Cork County Council,2338
2022,Male,57,Kerry County Council,1027
2022,Male,57,Limerick City & County Council,1253
2022,Male,57,Tipperary County Council,1157
2022,Male,57,Waterford City & County Council,820
2022,Male,57,Galway City Council,419
2022,Male,57,Galway County Council,1262
2022,Male,57,Leitrim County Council,245
2022,Male,57,Mayo  County Council,946
2022,Male,57,Roscommon County Council,455
2022,Male,57,Sligo County Council,420
2022,Male,57,Cavan County Council,515
2022,Male,57,Donegal County Council,1095
2022,Male,57,Monaghan County Council,390
2022,Male,58,Carlow County Council,356
2022,Male,58,Dublin City Council,3113
2022,Male,58,Dún Laoghaire Rathdown County Council,1278
2022,Male,58,Fingal County Council,1600
2022,Male,58,South Dublin County Council,1445
2022,Male,58,Kildare County Council,1349
2022,Male,58,Kilkenny County Council,626
2022,Male,58,Laois County Council,529
2022,Male,58,Longford County Council,277
2022,Male,58,Louth County Council,834
2022,Male,58,Meath County Council,1198
2022,Male,58,Offaly County Council,544
2022,Male,58,Westmeath County Council,567
2022,Male,58,Wexford County Council,1042
2022,Male,58,Wicklow County Council,905
2022,Male,58,Clare County Council,841
2022,Male,58,Cork City Council,1317
2022,Male,58,Cork County Council,2230
2022,Male,58,Kerry County Council,1040
2022,Male,58,Limerick City & County Council,1203
2022,Male,58,Tipperary County Council,1081
2022,Male,58,Waterford City & County Council,809
2022,Male,58,Galway City Council,356
2022,Male,58,Galway County Council,1201
2022,Male,58,Leitrim County Council,230
2022,Male,58,Mayo  County Council,917
2022,Male,58,Roscommon County Council,498
2022,Male,58,Sligo County Council,464
2022,Male,58,Cavan County Council,468
2022,Male,58,Donegal County Council,1078
2022,Male,58,Monaghan County Council,379
2022,Male,59,Carlow County Council,383
2022,Male,59,Dublin City Council,3040
2022,Male,59,Dún Laoghaire Rathdown County Council,1285
2022,Male,59,Fingal County Council,1593
2022,Male,59,South Dublin County Council,1470
2022,Male,59,Kildare County Council,1261
2022,Male,59,Kilkenny County Council,638
2022,Male,59,Laois County Council,501
2022,Male,59,Longford County Council,263
2022,Male,59,Louth County Council,774
2022,Male,59,Meath County Council,1207
2022,Male,59,Offaly County Council,489
2022,Male,59,Westmeath County Council,593
2022,Male,59,Wexford County Council,985
2022,Male,59,Wicklow County Council,952
2022,Male,59,Clare County Council,797
2022,Male,59,Cork City Council,1285
2022,Male,59,Cork County Council,2166
2022,Male,59,Kerry County Council,1031
2022,Male,59,Limerick City & County Council,1176
2022,Male,59,Tipperary County Council,1124
2022,Male,59,Waterford City & County Council,837
2022,Male,59,Galway City Council,351
2022,Male,59,Galway County Council,1133
2022,Male,59,Leitrim County Council,212
2022,Male,59,Mayo  County Council,905
2022,Male,59,Roscommon County Council,444
2022,Male,59,Sligo County Council,451
2022,Male,59,Cavan County Council,515
2022,Male,59,Donegal County Council,962
2022,Male,59,Monaghan County Council,373
2022,Male,60,Carlow County Council,356
2022,Male,60,Dublin City Council,2961
2022,Male,60,Dún Laoghaire Rathdown County Council,1254
2022,Male,60,Fingal County Council,1502
2022,Male,60,South Dublin County Council,1435
2022,Male,60,Kildare County Council,1276
2022,Male,60,Kilkenny County Council,594
2022,Male,60,Laois County Council,506
2022,Male,60,Longford County Council,269
2022,Male,60,Louth County Council,772
2022,Male,60,Meath County Council,1111
2022,Male,60,Offaly County Council,463
2022,Male,60,Westmeath County Council,565
2022,Male,60,Wexford County Council,1015
2022,Male,60,Wicklow County Council,985
2022,Male,60,Clare County Council,783
2022,Male,60,Cork City Council,1277
2022,Male,60,Cork County Council,2108
2022,Male,60,Kerry County Council,1001
2022,Male,60,Limerick City & County Council,1184
2022,Male,60,Tipperary County Council,998
2022,Male,60,Waterford City & County Council,769
2022,Male,60,Galway City Council,376
2022,Male,60,Galway County Council,1161
2022,Male,60,Leitrim County Council,213
2022,Male,60,Mayo  County Council,845
2022,Male,60,Roscommon County Council,432
2022,Male,60,Sligo County Council,429
2022,Male,60,Cavan County Council,478
2022,Male,60,Donegal County Council,963
2022,Male,60,Monaghan County Council,374
2022,Male,61,Carlow County Council,334
2022,Male,61,Dublin City Council,2829
2022,Male,61,Dún Laoghaire Rathdown County Council,1190
2022,Male,61,Fingal County Council,1427
2022,Male,61,South Dublin County Council,1438
2022,Male,61,Kildare County Council,1237
2022,Male,61,Kilkenny County Council,599
2022,Male,61,Laois County Council,496
2022,Male,61,Longford County Council,263
2022,Male,61,Louth County Council,754
2022,Male,61,Meath County Council,1128
2022,Male,61,Offaly County Council,542
2022,Male,61,Westmeath County Council,517
2022,Male,61,Wexford County Council,979
2022,Male,61,Wicklow County Council,861
2022,Male,61,Clare County Council,756
2022,Male,61,Cork City Council,1156
2022,Male,61,Cork County Council,2084
2022,Male,61,Kerry County Council,973
2022,Male,61,Limerick City & County Council,1152
2022,Male,61,Tipperary County Council,1097
2022,Male,61,Waterford City & County Council,730
2022,Male,61,Galway City Council,360
2022,Male,61,Galway County Council,1142
2022,Male,61,Leitrim County Council,222
2022,Male,61,Mayo  County Council,876
2022,Male,61,Roscommon County Council,473
2022,Male,61,Sligo County Council,441
2022,Male,61,Cavan County Council,464
2022,Male,61,Donegal County Council,945
2022,Male,61,Monaghan County Council,384
2022,Male,62,Carlow County Council,333
2022,Male,62,Dublin City Council,2781
2022,Male,62,Dún Laoghaire Rathdown County Council,1188
2022,Male,62,Fingal County Council,1399
2022,Male,62,South Dublin County Council,1310
2022,Male,62,Kildare County Council,1126
2022,Male,62,Kilkenny County Council,645
2022,Male,62,Laois County Council,478
2022,Male,62,Longford County Council,266
2022,Male,62,Louth County Council,707
2022,Male,62,Meath County Council,1025
2022,Male,62,Offaly County Council,485
2022,Male,62,Westmeath County Council,534
2022,Male,62,Wexford County Council,962
2022,Male,62,Wicklow County Council,836
2022,Male,62,Clare County Council,754
2022,Male,62,Cork City Council,1120
2022,Male,62,Cork County Council,2048
2022,Male,62,Kerry County Council,1036
2022,Male,62,Limerick City & County Council,1115
2022,Male,62,Tipperary County Council,958
2022,Male,62,Waterford City & County Council,760
2022,Male,62,Galway City Council,333
2022,Male,62,Galway County Council,1122
2022,Male,62,Leitrim County Council,225
2022,Male,62,Mayo  County Council,902
2022,Male,62,Roscommon County Council,409
2022,Male,62,Sligo County Council,436
2022,Male,62,Cavan County Council,473
2022,Male,62,Donegal County Council,944
2022,Male,62,Monaghan County Council,406
2022,Male,63,Carlow County Council,326
2022,Male,63,Dublin City Council,2626
2022,Male,63,Dún Laoghaire Rathdown County Council,1109
2022,Male,63,Fingal County Council,1302
2022,Male,63,South Dublin County Council,1309
2022,Male,63,Kildare County Council,1115
2022,Male,63,Kilkenny County Council,574
2022,Male,63,Laois County Council,482
2022,Male,63,Longford County Council,226
2022,Male,63,Louth County Council,659
2022,Male,63,Meath County Council,979
2022,Male,63,Offaly County Council,432
2022,Male,63,Westmeath County Council,498
2022,Male,63,Wexford County Council,929
2022,Male,63,Wicklow County Council,825
2022,Male,63,Clare County Council,782
2022,Male,63,Cork City Council,1092
2022,Male,63,Cork County Council,1885
2022,Male,63,Kerry County Council,983
2022,Male,63,Limerick City & County Council,1149
2022,Male,63,Tipperary County Council,939
2022,Male,63,Waterford City & County Council,699
2022,Male,63,Galway City Council,328
2022,Male,63,Galway County Council,1031
2022,Male,63,Leitrim County Council,228
2022,Male,63,Mayo  County Council,890
2022,Male,63,Roscommon County Council,436
2022,Male,63,Sligo County Council,403
2022,Male,63,Cavan County Council,420
2022,Male,63,Donegal County Council,926
2022,Male,63,Monaghan County Council,302
2022,Male,64,Carlow County Council,287
2022,Male,64,Dublin City Council,2456
2022,Male,64,Dún Laoghaire Rathdown County Council,1092
2022,Male,64,Fingal County Council,1241
2022,Male,64,South Dublin County Council,1277
2022,Male,64,Kildare County Council,1031
2022,Male,64,Kilkenny County Council,593
2022,Male,64,Laois County Council,450
2022,Male,64,Longford County Council,216
2022,Male,64,Louth County Council,650
2022,Male,64,Meath County Council,933
2022,Male,64,Offaly County Council,406
2022,Male,64,Westmeath County Council,483
2022,Male,64,Wexford County Council,870
2022,Male,64,Wicklow County Council,760
2022,Male,64,Clare County Council,712
2022,Male,64,Cork City Council,1069
2022,Male,64,Cork County Council,1862
2022,Male,64,Kerry County Council,943
2022,Male,64,Limerick City & County Council,1132
2022,Male,64,Tipperary County Council,997
2022,Male,64,Waterford City & County Council,643
2022,Male,64,Galway City Council,321
2022,Male,64,Galway County Council,1096
2022,Male,64,Leitrim County Council,206
2022,Male,64,Mayo  County Council,874
2022,Male,64,Roscommon County Council,430
2022,Male,64,Sligo County Council,401
2022,Male,64,Cavan County Council,430
2022,Male,64,Donegal County Council,903
2022,Male,64,Monaghan County Council,363
2022,Male,65,Carlow County Council,322
2022,Male,65,Dublin City Council,2456
2022,Male,65,Dún Laoghaire Rathdown County Council,1033
2022,Male,65,Fingal County Council,1247
2022,Male,65,South Dublin County Council,1197
2022,Male,65,Kildare County Council,1073
2022,Male,65,Kilkenny County Council,511
2022,Male,65,Laois County Council,458
2022,Male,65,Longford County Council,214
2022,Male,65,Louth County Council,627
2022,Male,65,Meath County Council,893
2022,Male,65,Offaly County Council,470
2022,Male,65,Westmeath County Council,502
2022,Male,65,Wexford County Council,904
2022,Male,65,Wicklow County Council,728
2022,Male,65,Clare County Council,691
2022,Male,65,Cork City Council,1061
2022,Male,65,Cork County Council,1837
2022,Male,65,Kerry County Council,975
2022,Male,65,Limerick City & County Council,1051
2022,Male,65,Tipperary County Council,960
2022,Male,65,Waterford City & County Council,690
2022,Male,65,Galway City Council,303
2022,Male,65,Galway County Council,1055
2022,Male,65,Leitrim County Council,216
2022,Male,65,Mayo  County Council,853
2022,Male,65,Roscommon County Council,423
2022,Male,65,Sligo County Council,410
2022,Male,65,Cavan County Council,457
2022,Male,65,Donegal County Council,945
2022,Male,65,Monaghan County Council,338
2022,Male,66,Carlow County Council,283
2022,Male,66,Dublin City Council,2204
2022,Male,66,Dún Laoghaire Rathdown County Council,1027
2022,Male,66,Fingal County Council,1090
2022,Male,66,South Dublin County Council,1204
2022,Male,66,Kildare County Council,968
2022,Male,66,Kilkenny County Council,564
2022,Male,66,Laois County Council,404
2022,Male,66,Longford County Council,217
2022,Male,66,Louth County Council,658
2022,Male,66,Meath County Council,914
2022,Male,66,Offaly County Council,413
2022,Male,66,Westmeath County Council,473
2022,Male,66,Wexford County Council,817
2022,Male,66,Wicklow County Council,740
2022,Male,66,Clare County Council,647
2022,Male,66,Cork City Council,915
2022,Male,66,Cork County Council,1798
2022,Male,66,Kerry County Council,936
2022,Male,66,Limerick City & County Council,1093
2022,Male,66,Tipperary County Council,948
2022,Male,66,Waterford City & County Council,619
2022,Male,66,Galway City Council,288
2022,Male,66,Galway County Council,1034
2022,Male,66,Leitrim County Council,229
2022,Male,66,Mayo  County Council,866
2022,Male,66,Roscommon County Council,412
2022,Male,66,Sligo County Council,363
2022,Male,66,Cavan County Council,383
2022,Male,66,Donegal County Council,894
2022,Male,66,Monaghan County Council,358
2022,Male,67,Carlow County Council,271
2022,Male,67,Dublin City Council,2194
2022,Male,67,Dún Laoghaire Rathdown County Council,974
2022,Male,67,Fingal County Council,1075
2022,Male,67,South Dublin County Council,1228
2022,Male,67,Kildare County Council,1028
2022,Male,67,Kilkenny County Council,546
2022,Male,67,Laois County Council,401
2022,Male,67,Longford County Council,229
2022,Male,67,Louth County Council,630
2022,Male,67,Meath County Council,882
2022,Male,67,Offaly County Council,406
2022,Male,67,Westmeath County Council,457
2022,Male,67,Wexford County Council,894
2022,Male,67,Wicklow County Council,710
2022,Male,67,Clare County Council,672
2022,Male,67,Cork City Council,976
2022,Male,67,Cork County Council,1683
2022,Male,67,Kerry County Council,945
2022,Male,67,Limerick City & County Council,998
2022,Male,67,Tipperary County Council,908
2022,Male,67,Waterford City & County Council,692
2022,Male,67,Galway City Council,313
2022,Male,67,Galway County Council,1019
2022,Male,67,Leitrim County Council,194
2022,Male,67,Mayo  County Council,844
2022,Male,67,Roscommon County Council,419
2022,Male,67,Sligo County Council,390
2022,Male,67,Cavan County Council,419
2022,Male,67,Donegal County Council,905
2022,Male,67,Monaghan County Council,325
2022,Male,68,Carlow County Council,291
2022,Male,68,Dublin City Council,2065
2022,Male,68,Dún Laoghaire Rathdown County Council,970
2022,Male,68,Fingal County Council,1077
2022,Male,68,South Dublin County Council,1145
2022,Male,68,Kildare County Council,909
2022,Male,68,Kilkenny County Council,550
2022,Male,68,Laois County Council,368
2022,Male,68,Longford County Council,243
2022,Male,68,Louth County Council,591
2022,Male,68,Meath County Council,861
2022,Male,68,Offaly County Council,337
2022,Male,68,Westmeath County Council,421
2022,Male,68,Wexford County Council,785
2022,Male,68,Wicklow County Council,693
2022,Male,68,Clare County Council,637
2022,Male,68,Cork City Council,886
2022,Male,68,Cork County Council,1727
2022,Male,68,Kerry County Council,857
2022,Male,68,Limerick City & County Council,998
2022,Male,68,Tipperary County Council,915
2022,Male,68,Waterford City & County Council,618
2022,Male,68,Galway City Council,287
2022,Male,68,Galway County Council,926
2022,Male,68,Leitrim County Council,213
2022,Male,68,Mayo  County Council,803
2022,Male,68,Roscommon County Council,401
2022,Male,68,Sligo County Council,358
2022,Male,68,Cavan County Council,381
2022,Male,68,Donegal County Council,867
2022,Male,68,Monaghan County Council,322
2022,Male,69,Carlow County Council,276
2022,Male,69,Dublin City Council,2147
2022,Male,69,Dún Laoghaire Rathdown County Council,976
2022,Male,69,Fingal County Council,1127
2022,Male,69,South Dublin County Council,1154
2022,Male,69,Kildare County Council,947
2022,Male,69,Kilkenny County Council,490
2022,Male,69,Laois County Council,382
2022,Male,69,Longford County Council,212
2022,Male,69,Louth County Council,536
2022,Male,69,Meath County Council,788
2022,Male,69,Offaly County Council,409
2022,Male,69,Westmeath County Council,424
2022,Male,69,Wexford County Council,818
2022,Male,69,Wicklow County Council,653
2022,Male,69,Clare County Council,673
2022,Male,69,Cork City Council,888
2022,Male,69,Cork County Council,1713
2022,Male,69,Kerry County Council,834
2022,Male,69,Limerick City & County Council,1043
2022,Male,69,Tipperary County Council,875
2022,Male,69,Waterford City & County Council,578
2022,Male,69,Galway City Council,324
2022,Male,69,Galway County Council,990
2022,Male,69,Leitrim County Council,201
2022,Male,69,Mayo  County Council,791
2022,Male,69,Roscommon County Council,406
2022,Male,69,Sligo County Council,371
2022,Male,69,Cavan County Council,358
2022,Male,69,Donegal County Council,889
2022,Male,69,Monaghan County Council,321
2022,Male,70,Carlow County Council,277
2022,Male,70,Dublin City Council,1930
2022,Male,70,Dún Laoghaire Rathdown County Council,927
2022,Male,70,Fingal County Council,1031
2022,Male,70,South Dublin County Council,1148
2022,Male,70,Kildare County Council,845
2022,Male,70,Kilkenny County Council,471
2022,Male,70,Laois County Council,371
2022,Male,70,Longford County Council,244
2022,Male,70,Louth County Council,545
2022,Male,70,Meath County Council,726
2022,Male,70,Offaly County Council,369
2022,Male,70,Westmeath County Council,391
2022,Male,70,Wexford County Council,788
2022,Male,70,Wicklow County Council,634
2022,Male,70,Clare County Council,604
2022,Male,70,Cork City Council,890
2022,Male,70,Cork County Council,1607
2022,Male,70,Kerry County Council,881
2022,Male,70,Limerick City & County Council,960
2022,Male,70,Tipperary County Council,805
2022,Male,70,Waterford City & County Council,572
2022,Male,70,Galway City Council,262
2022,Male,70,Galway County Council,863
2022,Male,70,Leitrim County Council,191
2022,Male,70,Mayo  County Council,727
2022,Male,70,Roscommon County Council,395
2022,Male,70,Sligo County Council,333
2022,Male,70,Cavan County Council,348
2022,Male,70,Donegal County Council,837
2022,Male,70,Monaghan County Council,281
2022,Male,71,Carlow County Council,238
2022,Male,71,Dublin City Council,1863
2022,Male,71,Dún Laoghaire Rathdown County Council,861
2022,Male,71,Fingal County Council,953
2022,Male,71,South Dublin County Council,1112
2022,Male,71,Kildare County Council,824
2022,Male,71,Kilkenny County Council,410
2022,Male,71,Laois County Council,353
2022,Male,71,Longford County Council,199
2022,Male,71,Louth County Council,488
2022,Male,71,Meath County Council,767
2022,Male,71,Offaly County Council,357
2022,Male,71,Westmeath County Council,374
